  0.05000 0.1640
  0.15000 0.3132
  0.25000 0.4349
  0.35000 0.5371
  0.45000 0.5927
  0.55000 0.6314
  0.65000 0.6752
  0.75000 0.7380
  0.85000 0.8080
  0.95000 0.8747
  1.05000 0.9335
  1.15000 0.9888
  1.25000 1.0000
  1.35000 0.9494
  1.45000 0.8942
  1.55000 0.8345
  1.65000 0.7711
  1.75000 0.7134
  1.85000 0.6940
  1.95000 0.6831
  2.05000 0.6621
  2.15000 0.6218
  2.25000 0.5716
  2.35000 0.5172
  2.45000 0.4675
  2.55000 0.4245
  2.65000 0.3850
  2.75000 0.3480
  2.85000 0.3206
  2.95000 0.2983
  3.05000 0.2781
  3.15000 0.2615
  3.25000 0.2441
  3.35000 0.2250
  3.45000 0.2071
  3.55000 0.1909
  3.65000 0.1742
  3.75000 0.1573
  3.85000 0.1413
  3.95000 0.1262
  4.05000 0.1139
  4.15000 0.1019
  4.25000 0.0889
  4.35000 0.0776
  4.45000 0.0674
  4.55000 0.0589
  4.65000 0.0513
  4.75000 0.0451
  4.85000 0.0394
  4.95000 0.0337
  5.05000 0.0283
  5.15000 0.0248
  5.25000 0.0220
  5.35000 0.0192
  5.45000 0.0164
  5.55000 0.0137
  5.65000 0.0110
  5.75000 0.0084
  5.85000 0.0062
  5.95000 0.0054
  6.05000 0.0048
  6.15000 0.0043
  6.25000 0.0037
  6.35000 0.0032
  6.45000 0.0028
  6.55000 0.0025
  6.65000 0.0021
  6.75000 0.0018
  6.85000 0.0016
  6.95000 0.0014
  7.05000 0.0012
  7.15000 0.0010
  7.25000 0.0009
  7.35000 0.0007
  7.45000 0.0006
  7.55000 0.0005
  7.65000 0.0005
  7.75000 0.0004
  7.85000 0.0004
  7.95000 0.0003
  8.05000 0.0003
  8.15000 0.0002
  8.25000 0.0002
  8.35000 0.0002
  8.45000 0.0002
  8.55000 0.0001
  8.65000 0.0001
  8.75000 0.0001
  8.85000 0.0001
  8.95000 0.0001
  9.05000 0.0001
  9.15000 0.0001
  9.25000 0.0001
  9.35000 0.0001
  9.45000 0.0001
  9.55000 0.0000
  9.65000 0.0000
  9.75000 0.0000
  9.85000 0.0000
  9.95000 0.0000
